Genotype	BLUP
TAARN	72.94773603
TAARN1516	84.31682974
TAMTAM	74.23350869
TELLUS	72.54953203
THOR	62.73392368
TOFTA	72.75481872
TREBON	77.39818125
TYRA	79.49832414
UFFE	74.18486815
Ula	69.79512115
VANJA	77.05218957
VARUNDA	65.86022432
VEGA	73.83636465
VIKINGGOLD	71.14354967
Vinie_iai	69.39423096
VISIR	78.96564319
WEISSEERFURTER	75.25217916
WELAM	80.40724316
YMER	78.11870237
YMERBYGII	75.12117615
ZITA	76.04479894
